product_id,star_rating,review
B00IKPX4GY,5,Five Stars
B00IKPYKWG,3,Lots of ads Slow processing speed Occasionally shuts down apps ...
B00IKPW0UA,5,Well thought out device
B00LCHSHMS,4,"Not all apps/games we were looking forward to using were compatible with this tablet, over all we are enjoying it though,"
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,4,Four Stars
B00IKPYKWG,4,Not a bad product. Simple. Works well. Nothing fancy.
B00IKPZ5V6,5,Five Stars
B00LCHRQL6,4,"Everything works great, the menu system is awful"
B00IKPYKWG,5,Like looks and
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,5,Love
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,my new kindle
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,The promotional price was very good. I was worried as my last android device ...
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,5,Highly Recommend
B00IKPZ5V6,5,Everything I expected and more. Have already gotten hours ...
B00IKPYKWG,3,Three Stars
B00IKPYKWG,2,Don't waste your money on this tablet
B00IKPYKWG,2,Same sloppy OS same glitches still no flash compatability...
B00IKPZ5V6,4,"I love it, I just wish I could download books ..."
B00IKPYKWG,5,Five Stars
B00LCI2I7C,3,Three Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,3,Three Stars
B00IKPZ5V6,5,I'm happy with my new Kindle Fire
B00IKPYKWG,5,I was able to program the Kindle easily on my own
B00IKPW0UA,5,Five Stars
B00IKPYKWG,5,Love My Kindle
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Great product!
B00LCI2I7C,5,Five Stars
B00IKPYKWG,3,"Won't stay connected to the WiFi, am having to ..."
B00IKPYKWG,1,The unit came with NO directions of use of any ...
B00IKPW0UA,5,Good for kids
B00LCHRQL6,5,A good purchase.
B00IKPYKWG,5,how did I ever get along without this.
B00IKPYKWG,3,Three Stars
B00LCHS1FG,2,More trouble that it's worth (prefer the older model Kindle Fire)
B00LCHOCZY,2,Great quality...
B00LCHS1FG,5,Love it! Convenient and use the library to download ...
B00IKPYKWG,5,Excellent sound. I love my new Kindle Fire HD
B00IKPZ5V6,3,Three Stars
B00IKPZ5V6,5,I love
B00IKPYKWG,5,Five Stars
B00LCHS1FG,5,Nothing Short of Amazing.
B00IKPW0UA,4,Great for ebooks
B00IKPYKWG,5,Five Stars
B00LCHRQL6,5,Five Stars
B00IKPYKWG,5,Kindle is the way to go.
B00IKPYKWG,4,Four Stars
B00IKPYKWG,4,I like everything about it except that I don't think the ...
B00KC6XV58,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00LCI2I7C,5,"Love it, everything I wanted in a kindle"
